"1","2","3","4","5","6","7","8","9","10"
"2",20194.917,18845.984,18190.904,17824.192,17520.424,17351.486,17308.880,17331.001,17391.622,17471.753
"3",19523.339,17805.268,16957.374,16489.581,16149.255,15965.961,15920.500,15930.461,15971.450,16030.551
"4",18940.446,16888.710,15922.557,15312.804,14896.124,14667.398,14582.579,14564.960,14584.280,14630.192
"5",18507.665,16236.831,15000.078,14259.617,13832.689,13616.472,13536.702,13526.949,13556.977,13609.776
"6",18090.043,15543.486,14092.462,13258.501,12770.903,12520.917,12441.613,12437.676,12471.113,12530.046
"7",17713.432,14934.624,13316.051,12378.549,11820.985,11513.501,11380.392,11349.655,11373.054,11435.152
"8",17379.558,14316.866,12581.083,11602.832,11057.716,10779.504,10668.450,10629.130,10636.687,10677.603
"9",17051.708,13795.034,11963.451,10960.308,10392.113,10087.953,9956.248,9911.497,9915.354,9956.822
"10",16750.765,13306.254,11387.738,10271.119,9648.296,9316.588,9154.199,9083.483,9074.751,9114.774
"11",16483.929,12890.678,10883.517,9694.706,9036.119,8680.502,8519.957,8457.916,8456.106,8498.866
"12",16234.577,12526.840,10476.337,9187.817,8466.185,8070.992,7896.986,7839.289,7848.951,7906.958
"13",16021.786,12207.230,10062.681,8717.194,7999.075,7606.408,7439.267,7389.735,7405.320,7465.235
"14",15837.403,11898.792,9681.080,8288.053,7553.786,7164.584,7008.372,6961.394,6982.691,7052.447
"15",15618.181,11583.871,9313.105,7895.767,7097.866,6660.473,6479.519,6423.894,6438.702,6500.229
"16",15405.482,11271.391,8978.191,7528.272,6721.621,6267.367,6073.342,6012.973,6034.240,6110.163
"17",15208.13,10980.58,8629.53,7162.672,6329.788,5860.773,5647.144,5561.295,5556.649,5609.553
"18",15026.21,10698.41,8286.484,6806.68,5978.019,5490.807,5268.13,5181.593,5179.569,5238.053
"19",14833.07,10416.92,7959.473,6441.757,5578.877,5063.391,4814.858,4708.916,4698.303,4756.916
"40",12450.54,6767.699,3855.269,2518.668,1798.874,1340.214,1157.858,1116.849,1148.142,1217.83
"60",11768.58,5641.861,2766.901,1498.657,1109.318,726.764,589.6108,568.3055,595.0088,640.7314
"100",11563.19,5253.637,2286.822,1020.601,842.8366,380.8232,183.0472,123.5321,99.84276,89.97924
"123",38529.31,15611.38,5975.953,2232.332,825.9476,304.4944,112.1049,41.25297,15.17773,5.583792
