id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_discount_percentage,monthly_discount_percentage,security_deposit_ratio_to_price,cleaning_fee_ratio_to_price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,AMN_24-hour check-in,AMN_air conditioning,AMN_breakfast,AMN_buzzer/wireless intercom,AMN_cable tv,AMN_carbon monoxide detector,AMN_cat(s),AMN_dog(s),AMN_doorman,AMN_dryer,AMN_elevator in building,AMN_essentials,AMN_family/kid friendly,AMN_fire extinguisher,AMN_first aid kit,AMN_free parking on premises,AMN_gym,AMN_hair dryer,AMN_hangers,AMN_heating,AMN_hot tub,AMN_indoor fireplace,AMN_internet,AMN_iron,AMN_kitchen,AMN_laptop friendly workspace,AMN_lock on bedroom door,AMN_other pet(s),AMN_pets allowed,AMN_pets live on this property,AMN_pool,AMN_safety card,AMN_shampoo,AMN_smoke detector,AMN_smoking allowed,AMN_suitable for events,AMN_translation missing: en.hosting_amenity_49,AMN_translation missing: en.hosting_amenity_50,AMN_tv,AMN_washer,AMN_wheelchair accessible,AMN_wireless internet,BED=Airbed,BED=Couch,BED=Futon,BED=Pull-out Sofa,BED=Real Bed,POPTY=Apartment,POPTY=Bed & Breakfast,POPTY=Bungalow,POPTY=Cabin,POPTY=Camper/RV,POPTY=Chalet,POPTY=Condominium,POPTY=Dorm,POPTY=Earth House,POPTY=House,POPTY=Loft,POPTY=Other,POPTY=Tent,POPTY=Townhouse,POPTY=Treehouse,POPTY=Villa,POPTY=Yurt
2746729,1583,100.0,84.0,1,5,5,1,Asheville,35.584967909,-82.6321989964,0,3,4,1.0,1.0,2.0,125.0,0.0,0.0,0.0,0.32,2,0.0,2,1125,17,36,57,228,65,2096,2797,9.6,9.0,10.0,10.0,10.0,9.0,9.0,0,0,3,0,0,2.69,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156926,1059,100.0,68.0,0,6,6,0,Asheville,35.5777553359,-82.5949955466,1,1,6,2.5,1.0,6.0,24.0,0.0,0.0,0.0,0.0,1,24.0,1,7,25,49,78,353,114,1126,2806,9.3,9.0,9.0,10.0,9.0,9.0,10.0,0,0,2,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3767793,1898,100.0,73.0,0,3,3,1,Asheville,35.6359530668,-82.6493975063,1,3,10,2.5,4.0,5.0,105.0,-1.10884353741,-0.238095238095,2.38095238095,1.42857142857,4,12.0,2,180,17,41,67,337,24,2194,2793,7.8,8.0,8.0,9.0,9.0,8.0,8.0,0,0,3,0,0,1.15,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5927700,2386,100.0,100.0,0,1,1,1,Asheville,35.589878459,-82.585800237,1,2,2,1.0,1.0,1.0,65.0,0.120879120879,0.0,1.53846153846,0.0,2,15.0,1,1125,16,42,68,339,98,2452,2814,9.3,10.0,10.0,10.0,10.0,9.0,9.0,0,1,1,0,0,7.95,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6698737,2421,100.0,96.0,1,1,1,1,Asheville,35.5755056736,-82.5931418789,1,2,2,1.0,1.0,1.0,75.0,0.047619047619,0.216,0.0,0.0666666666667,1,0.0,1,1125,10,35,62,337,50,2501,2816,9.8,10.0,10.0,10.0,10.0,10.0,10.0,0,1,2,0,0,4.67,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7966916,2092,100.0,100.0,1,1,1,1,Asheville,35.5716934603,-82.5884632783,1,2,3,1.0,1.0,2.0,75.0,-0.0857142857143,0.0,0.0,0.2,2,20.0,2,7,7,22,39,109,30,2621,2816,9.9,10.0,10.0,10.0,10.0,10.0,10.0,0,1,2,0,0,4.48,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2254521,1002,100.0,100.0,0,1,1,1,Asheville,35.5689284164,-82.5683417857,1,2,2,1.0,1.0,1.0,65.0,0.340659340659,0.641025641026,0.0,0.153846153846,1,15.0,1,1125,0,14,27,262,16,2025,2738,9.4,10.0,9.0,10.0,10.0,10.0,9.0,0,0,3,0,0,0.6,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11392366,1176,94.0,78.0,0,1,1,1,Asheville,35.5759158338,-82.5717373178,1,2,1,1.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,1,0.0,1,7,27,57,87,87,9,2775,2816,9.5,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,0,0,5.63,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3781780,2193,70.0,100.0,0,1,1,1,Asheville,35.5758864819,-82.5896747024,1,2,2,1.0,1.0,1.0,45.0,0.0,0.0,2.66666666667,0.666666666667,1,0.0,2,1125,30,60,90,365,40,2208,2809,9.5,10.0,10.0,10.0,10.0,10.0,10.0,0,0,2,0,0,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7132603,2061,100.0,100.0,1,1,1,1,Asheville,35.5907956908,-82.5876604149,1,2,2,1.0,1.0,1.0,80.0,0.0,0.0,0.0,0.0,1,0.0,1,1125,28,58,88,363,21,2529,2816,9.5,10.0,10.0,10.0,10.0,9.0,9.0,0,0,2,0,0,2.14,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
